SITEID,SITEID,STATE,MAJOR_FLOOD,FLOW_PEAK_LOGPEARSON3-Q100-SURPRISE[adim],VOL_120H_LOGPEARSON3-Q100-SURPRISE[adim],VOL_240H_LOGPEARSON3-Q100-SURPRISE[adim],diff
226410,1,1,1,1,0,0,0
226415,1,1,1,1,0,0,0
227200,1,1,1,1,0,0,0
227202,1,1,1,1,1,1,0
227205,2,2,2,2,1,1,0
227210,3,3,3,1,0,0,0
227211,1,1,1,1,0,0,0
227213,2,2,2,2,0,0,0
227220,1,1,1,0,0,0,0
227225,2,2,2,1,0,0,0
227226,1,1,1,1,0,0,0
227237,1,1,1,1,0,0,0
227239,1,1,1,1,0,0,0
227240,1,1,1,1,0,0,0
227243,1,1,1,1,0,0,0
227251,1,1,1,0,0,0,0
228208,2,2,2,2,2,2,0
228212,1,1,1,1,0,0,0
229677,1,1,1,1,1,0,0
407214,4,4,4,4,3,3,0
407215,4,4,4,4,2,1,0
407217,2,2,2,2,1,1,0
111009,8,8,8,7,5,4,0
111101,10,10,10,9,8,7,0
112002,9,9,9,7,2,2,0
112003,11,11,11,10,10,7,0
112004,10,10,10,9,7,7,0
112101,10,10,10,10,9,7,0
112102,10,10,10,10,5,6,0
112103,3,3,3,3,2,0,0
113003,2,2,2,2,1,1,0
113004,7,7,7,7,6,3,0
113006,7,7,7,7,7,7,0
113015,3,3,3,3,1,1,0
114001,10,10,10,10,9,8,0
114002,3,3,3,3,2,0,0
116-1,2,2,2,2,2,0,0
116006,13,13,13,13,12,9,0
116010,10,10,10,10,9,8,0
116011,13,13,13,13,8,6,0
116013,12,12,12,12,11,9,0
116014,12,12,12,12,10,9,0
116015,13,13,13,12,8,6,0
116016,11,11,11,10,8,6,0
117002,10,10,10,10,6,3,0
117003,10,10,10,10,5,4,0
111010,8,8,8,7,4,1,0
111007,13,13,13,13,11,9,0
118106,11,11,11,10,7,6,0
110021,7,7,7,7,3,3,0
421048,5,5,5,5,3,2,0
421050,2,2,2,2,2,2,0
421083,2,2,2,2,2,2,0
421101,2,2,2,2,2,2,0
41000208,2,2,2,1,0,0,0
41000261,1,1,1,1,1,1,0
41000269,1,1,1,0,0,0,0
41000271,1,1,1,0,0,0,0
41001701,2,2,2,0,0,0,0
41200209,2,2,2,2,2,2,0
002101,1,1,1,1,1,1,0
003206,1,1,1,1,1,1,0
003301,1,1,1,1,1,1,0
011202,5,5,5,5,4,3,0
105101,12,12,12,11,10,9,0
105102,10,10,10,9,8,8,0
105105,10,10,10,10,8,6,0
105107,4,4,4,3,3,3,0
107002,4,4,4,4,4,4,0
108002,8,8,8,7,6,5,0
1088-1,2,2,2,2,0,0,0
110003,11,11,11,11,7,7,0
110011,8,8,8,8,6,5,0
118001,1,1,1,1,0,0,0
120002,14,14,14,14,13,12,0
421035,2,2,2,2,2,2,0
130206,11,11,11,11,11,8,0
130303,2,2,2,2,2,2,0
130317,12,12,12,11,9,8,0
130322,11,11,11,11,11,8,0
130324,9,9,9,9,8,6,0
130325,1,1,1,1,1,1,0
130344,7,7,7,7,5,4,0
130374,6,6,6,6,6,5,0
130401,13,13,13,13,12,12,0
130403,10,10,10,9,8,8,0
130404,14,14,14,14,13,13,0
130405,3,3,3,3,1,1,0
130406,11,11,11,11,11,10,0
130504,11,11,11,11,9,7,0
130506,12,12,12,11,10,9,0
130510,7,7,7,7,5,5,0
1309-1,2,2,2,2,0,0,0
132001,9,9,9,9,3,4,0
1335-1,2,2,2,2,1,1,0
135004,11,11,11,11,10,6,0
135006,1,1,1,1,0,0,0
136011,10,10,10,10,10,5,0
136201,3,3,3,3,3,3,0
136209,9,9,9,9,8,6,0
130302,8,8,8,8,6,5,0
130004,9,9,9,9,3,4,0
120018,5,5,5,5,4,4,0
125009,6,6,6,6,4,0,0
120102,12,12,12,12,9,8,0
120110,11,11,11,11,10,9,0
120111,3,3,3,3,3,3,0
120113,3,3,3,3,3,3,0
120115,3,3,3,3,3,3,0
120119,2,2,2,2,2,2,0
120120,11,11,11,10,9,7,0
120122,6,6,6,6,6,6,0
120204,3,3,3,2,2,2,0
120220,2,2,2,2,1,1,0
120303,13,13,13,13,12,12,0
120304,10,10,10,10,10,8,0
120305,6,6,6,6,6,5,0
120306,2,2,2,2,2,2,0
121003,11,11,11,10,10,7,0
122004,10,10,10,10,6,6,0
124001,11,11,11,11,10,11,0
124002,9,9,9,8,6,5,0
124003,13,13,13,13,5,3,0
124004,6,6,6,6,3,0,0
124005,5,5,5,5,5,0,0
125004,13,13,13,12,11,10,0
125006,9,9,9,9,5,4,0
421036,1,1,1,1,1,1,0
421034,3,3,3,3,2,2,0
407221,3,3,3,2,1,1,0
410114,3,3,3,3,2,1,0
410149,2,2,2,2,1,1,0
410152,3,3,3,3,1,1,0
410176,2,2,2,2,2,2,0
410182,2,2,2,2,1,1,0
410183,2,2,2,2,1,1,0
410186,2,2,2,2,1,1,0
